CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_sansa.py
MEM 3623.347656 1683546030.3565
MEM 3779.582031 1683546030.4568
MEM 3945.613281 1683546030.5572
MEM 4117.832031 1683546030.6575
MEM 4286.699219 1683546030.7579
MEM 4520.113281 1683546030.8583
MEM 4862.113281 1683546030.9587
MEM 5208.113281 1683546031.0591
MEM 5556.113281 1683546031.1594
MEM 5902.113281 1683546031.2598
MEM 6248.113281 1683546031.3601
MEM 6594.113281 1683546031.4605
MEM 6938.503906 1683546031.5608
MEM 7278.511719 1683546031.6612
MEM 7620.511719 1683546031.7616
MEM 7962.511719 1683546031.8619
MEM 6954.207031 1683546031.9623
MEM 4480.671875 1683546032.0627
MEM 4806.671875 1683546032.1631
MEM 5134.671875 1683546032.2634
MEM 5462.671875 1683546032.3638
MEM 5790.671875 1683546032.4641
MEM 6120.671875 1683546032.5645
MEM 6450.671875 1683546032.6649
MEM 6778.671875 1683546032.7652
MEM 7116.671875 1683546032.8656
MEM 7462.671875 1683546032.9660
MEM 7806.671875 1683546033.0663
MEM 8152.671875 1683546033.1667
MEM 8166.273438 1683546033.2672
MEM 8166.273438 1683546033.3676
MEM 8166.273438 1683546033.4679
MEM 8166.273438 1683546033.5683
MEM 4740.328125 1683546033.6700
MEM 5144.328125 1683546033.7704
MEM 5548.328125 1683546033.8708
MEM 5952.328125 1683546033.9711
MEM 6354.328125 1683546034.0715
MEM 6758.328125 1683546034.1719
MEM 7095.398438 1683546034.2723
MEM 7391.398438 1683546034.3727
MEM 7689.398438 1683546034.4730
MEM 7983.398438 1683546034.5734
MEM 8279.398438 1683546034.6738
MEM 8577.398438 1683546034.7742
MEM 8877.398438 1683546034.8745
MEM 9177.398438 1683546034.9749
MEM 6906.945312 1683546035.0753
MEM 6906.945312 1683546035.1757
MEM 6906.945312 1683546035.2761
MEM 6906.945312 1683546035.3765
MEM 4480.570312 1683546035.4769
MEM 4702.570312 1683546035.5772
MEM 4924.570312 1683546035.6775
MEM 5148.570312 1683546035.7779
MEM 5370.570312 1683546035.8782
MEM 5592.570312 1683546035.9785
MEM 5812.570312 1683546036.0789
MEM 6034.570312 1683546036.1792
MEM 6256.570312 1683546036.2796
MEM 6480.570312 1683546036.3799
MEM 6702.570312 1683546036.4802
MEM 6906.960938 1683546036.5806
MEM 6906.960938 1683546036.6810
MEM 6906.960938 1683546036.7814
MEM 6906.960938 1683546036.8818
MEM 4386.921875 1683546036.9822
MEM 4386.921875 1683546037.0824
MEM 4386.921875 1683546037.1827
MEM 4386.921875 1683546037.2829
MEM 4386.921875 1683546037.3832
MEM 4386.921875 1683546037.4834
MEM 4386.921875 1683546037.5837
MEM 4386.921875 1683546037.6839
MEM 4386.921875 1683546037.7841
MEM 4386.921875 1683546037.8843
MEM 4386.921875 1683546037.9846
MEM 4386.921875 1683546038.0848
MEM 4386.921875 1683546038.1850
MEM 4386.921875 1683546038.2852
MEM 4386.921875 1683546038.3855
MEM 4386.921875 1683546038.4857
MEM 4386.921875 1683546038.5859
MEM 4386.921875 1683546038.6861
MEM 4386.921875 1683546038.7876
MEM 4386.921875 1683546038.8878
MEM 4386.921875 1683546038.9880
MEM 4386.921875 1683546039.0882
MEM 4386.921875 1683546039.1884
MEM 4386.921875 1683546039.2886
MEM 4386.921875 1683546039.3888
MEM 4386.921875 1683546039.4891
MEM 4386.921875 1683546039.5893
MEM 4386.921875 1683546039.6895
MEM 4386.921875 1683546039.7897
MEM 4386.921875 1683546039.8899
MEM 4386.921875 1683546039.9901
MEM 4386.921875 1683546040.0903
MEM 4386.921875 1683546040.1905
MEM 4386.921875 1683546040.2907
MEM 4386.921875 1683546040.3909
MEM 4386.921875 1683546040.4911
MEM 4386.921875 1683546040.5914
MEM 4386.921875 1683546040.6916
MEM 4386.921875 1683546040.7918
MEM 4386.921875 1683546040.8920
MEM 4386.921875 1683546040.9922
MEM 4386.921875 1683546041.0924
MEM 4386.921875 1683546041.1926
MEM 4386.921875 1683546041.2928
MEM 4386.921875 1683546041.3930
MEM 4386.921875 1683546041.4932
MEM 4386.921875 1683546041.5935
MEM 4386.921875 1683546041.6937
MEM 4386.921875 1683546041.7939
MEM 4386.921875 1683546041.8942
MEM 4386.921875 1683546041.9944
MEM 4386.921875 1683546042.0946
MEM 4386.921875 1683546042.1949
MEM 4386.921875 1683546042.2951
MEM 4386.921875 1683546042.3953
MEM 4386.921875 1683546042.4955
MEM 4386.921875 1683546042.5958
MEM 4386.921875 1683546042.6960
MEM 4386.921875 1683546042.7962
MEM 4386.921875 1683546042.8964
MEM 4386.921875 1683546042.9966
MEM 4386.921875 1683546043.0968
MEM 4386.921875 1683546043.1970
MEM 4386.921875 1683546043.2972
MEM 4386.921875 1683546043.3974
MEM 4386.921875 1683546043.4976
MEM 4386.921875 1683546043.5978
MEM 4386.921875 1683546043.6980
MEM 4386.921875 1683546043.7983
MEM 4386.921875 1683546043.8997
MEM 4386.921875 1683546043.9999
MEM 4386.921875 1683546044.1001
MEM 4386.921875 1683546044.2003
MEM 4386.921875 1683546044.3005
MEM 4386.921875 1683546044.4008
MEM 4386.921875 1683546044.5010
MEM 4386.921875 1683546044.6012
MEM 4386.921875 1683546044.7014
MEM 4386.921875 1683546044.8016
MEM 4386.921875 1683546044.9018
MEM 4386.921875 1683546045.0020
MEM 4386.921875 1683546045.1022
MEM 4386.921875 1683546045.2025
MEM 4386.921875 1683546045.3027
MEM 4386.921875 1683546045.4029
MEM 4386.921875 1683546045.5031
MEM 4386.921875 1683546045.6033
MEM 4386.921875 1683546045.7036
MEM 4386.921875 1683546045.8038
MEM 4386.921875 1683546045.9040
MEM 4386.921875 1683546046.0042
MEM 4386.921875 1683546046.1044
MEM 4386.921875 1683546046.2046
MEM 4386.921875 1683546046.3048
MEM 4386.921875 1683546046.4050
MEM 4386.921875 1683546046.5052
MEM 4386.921875 1683546046.6055
MEM 4386.921875 1683546046.7057
MEM 4386.921875 1683546046.8059
MEM 4386.921875 1683546046.9062
MEM 4386.921875 1683546047.0064
MEM 4386.921875 1683546047.1066
MEM 4386.921875 1683546047.2068
MEM 4386.921875 1683546047.3070
MEM 4386.921875 1683546047.4072
MEM 4386.921875 1683546047.5074
MEM 4386.921875 1683546047.6076
MEM 4386.921875 1683546047.7078
MEM 4386.921875 1683546047.8080
MEM 4386.921875 1683546047.9082
MEM 4386.921875 1683546048.0084
MEM 4386.921875 1683546048.1087
MEM 4386.921875 1683546048.2089
MEM 4386.921875 1683546048.3091
MEM 4386.921875 1683546048.4093
MEM 4386.921875 1683546048.5095
MEM 4386.921875 1683546048.6097
MEM 4386.921875 1683546048.7100
MEM 4386.921875 1683546048.8102
MEM 4386.921875 1683546048.9104
MEM 4386.921875 1683546049.0118
MEM 4386.921875 1683546049.1120
MEM 4386.921875 1683546049.2122
MEM 4386.921875 1683546049.3124
MEM 4386.921875 1683546049.4127
MEM 4386.921875 1683546049.5129
MEM 4386.921875 1683546049.6131
MEM 4386.921875 1683546049.7134
MEM 4386.921875 1683546049.8136
MEM 4386.921875 1683546049.9138
MEM 4386.921875 1683546050.0140
MEM 4386.921875 1683546050.1142
MEM 4386.921875 1683546050.2144
MEM 4386.921875 1683546050.3147
MEM 4386.921875 1683546050.4150
MEM 4386.921875 1683546050.5153
MEM 4386.921875 1683546050.6156
MEM 4386.921875 1683546050.7159
MEM 4386.921875 1683546050.8162
MEM 4386.921875 1683546050.9165
MEM 4386.921875 1683546051.0167
MEM 4386.921875 1683546051.1170
MEM 4386.921875 1683546051.2173
MEM 4386.921875 1683546051.3175
MEM 4386.921875 1683546051.4178
MEM 4386.921875 1683546051.5180
MEM 4386.921875 1683546051.6183
MEM 4386.921875 1683546051.7185
MEM 4386.921875 1683546051.8188
MEM 4386.921875 1683546051.9190
MEM 4386.921875 1683546052.0192
MEM 4386.921875 1683546052.1194
MEM 4386.921875 1683546052.2197
MEM 4386.921875 1683546052.3199
MEM 4386.921875 1683546052.4201
MEM 4386.921875 1683546052.5203
MEM 4386.921875 1683546052.6206
MEM 4386.921875 1683546052.7208
MEM 4386.921875 1683546052.8210
MEM 4386.921875 1683546052.9212
MEM 4386.921875 1683546053.0215
MEM 4386.921875 1683546053.1217
MEM 4386.921875 1683546053.2219
MEM 4386.921875 1683546053.3221
MEM 4386.921875 1683546053.4223
MEM 4386.921875 1683546053.5225
MEM 4386.921875 1683546053.6227
MEM 4386.921875 1683546053.7229
MEM 4386.921875 1683546053.8231
MEM 4386.921875 1683546053.9233
MEM 4386.921875 1683546054.0235
MEM 4386.921875 1683546054.1250
MEM 4386.921875 1683546054.2252
MEM 4386.921875 1683546054.3254
MEM 4386.921875 1683546054.4256
MEM 4386.921875 1683546054.5258
MEM 4386.921875 1683546054.6261
MEM 4386.921875 1683546054.7263
MEM 4386.921875 1683546054.8265
MEM 4386.921875 1683546054.9267
MEM 4386.921875 1683546055.0269
MEM 4386.921875 1683546055.1272
MEM 4386.921875 1683546055.2274
MEM 4386.921875 1683546055.3276
MEM 4386.921875 1683546055.4278
MEM 4386.921875 1683546055.5280
MEM 4386.921875 1683546055.6282
MEM 4386.921875 1683546055.7285
MEM 4386.921875 1683546055.8287
MEM 4386.921875 1683546055.9289
MEM 4386.921875 1683546056.0291
MEM 4386.921875 1683546056.1293
MEM 4386.921875 1683546056.2295
MEM 4386.921875 1683546056.3297
MEM 4386.921875 1683546056.4299
MEM 4386.921875 1683546056.5301
MEM 4386.921875 1683546056.6304
MEM 4386.921875 1683546056.7307
MEM 4386.921875 1683546056.8309
MEM 4386.921875 1683546056.9311
MEM 4386.921875 1683546057.0314
MEM 4386.921875 1683546057.1316
MEM 4386.921875 1683546057.2319
MEM 4386.921875 1683546057.3321
MEM 4386.921875 1683546057.4324
MEM 4386.921875 1683546057.5327
MEM 4386.921875 1683546057.6329
MEM 4386.921875 1683546057.7332
MEM 4386.921875 1683546057.8335
MEM 4386.921875 1683546057.9337
MEM 4386.921875 1683546058.0339
MEM 4386.921875 1683546058.1342
MEM 4386.921875 1683546058.2345
MEM 4386.921875 1683546058.3348
MEM 4386.921875 1683546058.4350
MEM 4386.921875 1683546058.5353
MEM 4386.921875 1683546058.6356
MEM 4386.921875 1683546058.7358
MEM 4386.921875 1683546058.8360
MEM 4386.921875 1683546058.9363
MEM 4386.921875 1683546059.0365
MEM 4386.921875 1683546059.1367
MEM 4386.921875 1683546059.2382
MEM 4386.921875 1683546059.3384
MEM 4386.921875 1683546059.4386
MEM 4386.921875 1683546059.5389
MEM 4386.921875 1683546059.6392
MEM 4386.921875 1683546059.7395
MEM 4386.921875 1683546059.8398
MEM 4386.921875 1683546059.9401
MEM 4386.921875 1683546060.0404
MEM 4386.921875 1683546060.1408
MEM 4386.921875 1683546060.2411
MEM 4386.921875 1683546060.3414
MEM 4386.921875 1683546060.4417
MEM 4386.921875 1683546060.5419
MEM 4386.921875 1683546060.6423
MEM 4386.921875 1683546060.7426
MEM 4386.921875 1683546060.8428
MEM 4386.921875 1683546060.9431
MEM 4386.921875 1683546061.0434
MEM 4386.921875 1683546061.1437
MEM 4386.921875 1683546061.2439
MEM 4386.921875 1683546061.3442
MEM 4386.921875 1683546061.4445
MEM 4386.921875 1683546061.5448
MEM 4386.921875 1683546061.6451
MEM 4386.921875 1683546061.7455
MEM 4386.921875 1683546061.8458
MEM 4386.921875 1683546061.9462
MEM 4386.921875 1683546062.0466
MEM 4386.921875 1683546062.1469
MEM 4386.921875 1683546062.2472
MEM 4386.921875 1683546062.3476
MEM 4386.921875 1683546062.4479
MEM 4386.921875 1683546062.5483
MEM 4386.921875 1683546062.6487
MEM 4386.921875 1683546062.7490
MEM 4386.921875 1683546062.8494
MEM 4386.921875 1683546062.9496
MEM 4386.921875 1683546063.0500
MEM 4386.921875 1683546063.1503
MEM 4386.921875 1683546063.2506
MEM 4386.921875 1683546063.3508
MEM 4386.921875 1683546063.4511
MEM 4386.921875 1683546063.5514
MEM 4386.921875 1683546063.6517
MEM 4386.921875 1683546063.7520
MEM 4386.921875 1683546063.8522
MEM 4386.921875 1683546063.9525
MEM 4386.921875 1683546064.0527
MEM 4386.921875 1683546064.1529
MEM 4386.921875 1683546064.2531
MEM 4386.921875 1683546064.3546
MEM 4386.921875 1683546064.4548
MEM 4386.921875 1683546064.5551
MEM 4386.921875 1683546064.6553
MEM 4386.921875 1683546064.7555
MEM 4386.921875 1683546064.8558
MEM 4386.921875 1683546064.9560
MEM 4386.921875 1683546065.0562
MEM 4386.921875 1683546065.1565
MEM 4386.921875 1683546065.2567
MEM 4386.921875 1683546065.3570
MEM 4386.921875 1683546065.4573
MEM 4386.921875 1683546065.5576
MEM 4386.921875 1683546065.6579
MEM 4386.921875 1683546065.7582
MEM 4386.921875 1683546065.8585
MEM 4386.921875 1683546065.9587
MEM 4386.921875 1683546066.0589
MEM 4386.921875 1683546066.1592
MEM 4386.921875 1683546066.2594
MEM 4386.921875 1683546066.3597
MEM 4386.921875 1683546066.4599
MEM 4386.921875 1683546066.5601
MEM 4386.921875 1683546066.6604
MEM 4386.921875 1683546066.7606
MEM 4386.921875 1683546066.8609
MEM 4386.921875 1683546066.9611
MEM 4386.921875 1683546067.0614
MEM 4386.921875 1683546067.1616
MEM 4386.921875 1683546067.2619
MEM 4386.921875 1683546067.3621
MEM 4386.921875 1683546067.4624
MEM 4386.921875 1683546067.5626
MEM 4386.921875 1683546067.6628
MEM 4386.921875 1683546067.7631
MEM 4386.921875 1683546067.8633
MEM 4386.921875 1683546067.9635
MEM 4386.921875 1683546068.0637
MEM 4386.921875 1683546068.1639
MEM 4386.921875 1683546068.2642
MEM 4386.921875 1683546068.3644
MEM 4386.921875 1683546068.4646
MEM 4386.921875 1683546068.5649
MEM 4386.921875 1683546068.6651
MEM 4386.921875 1683546068.7653
MEM 606.527344 1683546068.8657
MEM 606.527344 1683546068.9661
MEM 609.437500 1683546069.0664
MEM 623.566406 1683546069.1667
MEM 623.566406 1683546069.2670
MEM 623.566406 1683546069.3672
MEM 623.566406 1683546069.4686
MEM 569.730469 1683546069.5689
MEM 569.730469 1683546069.6692
MEM 570.234375 1683546069.7694
MEM 571.398438 1683546069.8697
MEM 603.160156 1683546069.9700
MEM 603.160156 1683546070.0703
MEM 603.160156 1683546070.1707
MEM 603.417969 1683546070.2710
MEM 604.449219 1683546070.3713
MEM 604.449219 1683546070.4716
MEM 604.449219 1683546070.5720
MEM 604.449219 1683546070.6723
MEM 604.449219 1683546070.7726
MEM 604.449219 1683546070.8729
MEM 604.449219 1683546070.9732
MEM 604.449219 1683546071.0735
MEM 604.964844 1683546071.1737
MEM 604.964844 1683546071.2742
MEM 604.964844 1683546071.3745
MEM 604.964844 1683546071.4748
MEM 604.964844 1683546071.5751
MEM 604.964844 1683546071.6754
MEM 604.964844 1683546071.7758
MEM 604.964844 1683546071.8761
MEM 604.964844 1683546071.9763
MEM 605.222656 1683546072.0766
MEM 605.222656 1683546072.1769
MEM 605.222656 1683546072.2772
MEM 605.222656 1683546072.3775
MEM 605.222656 1683546072.4778
MEM 605.222656 1683546072.5781
MEM 605.222656 1683546072.6784
MEM 605.222656 1683546072.7787
MEM 605.480469 1683546072.8790
MEM 605.480469 1683546072.9794
MEM 605.480469 1683546073.0798
MEM 605.480469 1683546073.1801
MEM 605.480469 1683546073.2803
MEM 605.738281 1683546073.3806
MEM 605.738281 1683546073.4809
MEM 605.738281 1683546073.5812
MEM 605.738281 1683546073.6815
MEM 605.996094 1683546073.7818
MEM 605.996094 1683546073.8821
MEM 605.996094 1683546073.9824
MEM 605.996094 1683546074.0827
MEM 605.996094 1683546074.1830
MEM 605.996094 1683546074.2833
MEM 605.996094 1683546074.3836
MEM 606.253906 1683546074.4839
MEM 606.253906 1683546074.5854
MEM 606.253906 1683546074.6857
MEM 606.253906 1683546074.7860
MEM 606.511719 1683546074.8863
MEM 606.511719 1683546074.9866
MEM 606.511719 1683546075.0870
MEM 606.511719 1683546075.1872
MEM 606.769531 1683546075.2875
MEM 606.769531 1683546075.3878
MEM 606.769531 1683546075.4881
MEM 606.769531 1683546075.5884
MEM 606.769531 1683546075.6887
MEM 606.769531 1683546075.7890
MEM 606.769531 1683546075.8893
MEM 606.769531 1683546075.9896
MEM 607.027344 1683546076.0899
MEM 607.027344 1683546076.1903
MEM 607.027344 1683546076.2906
MEM 607.027344 1683546076.3909
MEM 607.285156 1683546076.4912
MEM 607.285156 1683546076.5915
MEM 607.285156 1683546076.6918
MEM 607.285156 1683546076.7922
MEM 607.542969 1683546076.8925
MEM 607.542969 1683546076.9928
MEM 607.542969 1683546077.0931
MEM 607.542969 1683546077.1934
MEM 607.542969 1683546077.2937
MEM 607.542969 1683546077.3940
MEM 607.542969 1683546077.4943
MEM 607.800781 1683546077.5946
MEM 607.800781 1683546077.6949
MEM 607.800781 1683546077.7952
MEM 608.058594 1683546077.8955
MEM 608.058594 1683546077.9958
MEM 608.058594 1683546078.0961
MEM 608.058594 1683546078.1963
MEM 608.058594 1683546078.2966
MEM 608.058594 1683546078.3969
MEM 608.058594 1683546078.4972
MEM 608.316406 1683546078.5975
MEM 608.316406 1683546078.6978
MEM 608.316406 1683546078.7981
MEM 608.316406 1683546078.8984
MEM 608.574219 1683546078.9987
MEM 608.574219 1683546079.0990
MEM 608.574219 1683546079.1993
MEM 608.574219 1683546079.2996
MEM 608.574219 1683546079.3999
MEM 608.574219 1683546079.5002
MEM 608.832031 1683546079.6004
MEM 608.832031 1683546079.7019
MEM 608.832031 1683546079.8022
MEM 509.246094 1683546079.9025
