CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0.py
MEM 17020.164062 1683547166.6385
MEM 17215.714844 1683547166.7386
MEM 17411.523438 1683547166.8388
MEM 17608.105469 1683547166.9389
MEM 17804.042969 1683547167.0391
MEM 18000.496094 1683547167.1392
MEM 18196.820312 1683547167.2394
MEM 18393.531250 1683547167.3395
MEM 18589.597656 1683547167.4397
MEM 18785.921875 1683547167.5399
MEM 18982.246094 1683547167.6401
MEM 19177.925781 1683547167.7402
MEM 19373.347656 1683547167.8404
MEM 19570.187500 1683547167.9405
MEM 19766.511719 1683547168.0407
MEM 19962.449219 1683547168.1409
MEM 20157.613281 1683547168.2411
MEM 20353.808594 1683547168.3413
MEM 20549.488281 1683547168.4415
MEM 20745.296875 1683547168.5416
MEM 20941.105469 1683547168.6418
MEM 21137.171875 1683547168.7419
MEM 21333.882812 1683547168.8421
MEM 21530.593750 1683547168.9422
MEM 21727.304688 1683547169.0425
MEM 21923.628906 1683547169.1426
MEM 22120.210938 1683547169.2428
MEM 22316.792969 1683547169.3430
MEM 22512.988281 1683547169.4431
MEM 22709.957031 1683547169.5433
MEM 22906.796875 1683547169.6434
MEM 23102.605469 1683547169.7436
MEM 23298.671875 1683547169.8437
MEM 23495.253906 1683547169.9439
MEM 23691.449219 1683547170.0440
MEM 23888.031250 1683547170.1442
MEM 24083.968750 1683547170.2443
MEM 24280.421875 1683547170.3445
MEM 24476.617188 1683547170.4446
MEM 24673.328125 1683547170.5449
MEM 24869.910156 1683547170.6451
MEM 25066.878906 1683547170.7452
MEM 25263.332031 1683547170.8454
MEM 25459.914062 1683547170.9455
MEM 25655.335938 1683547171.0457
MEM 25850.886719 1683547171.1459
MEM 26046.695312 1683547171.2460
MEM 26243.277344 1683547171.3462
MEM 26439.988281 1683547171.4463
MEM 26636.570312 1683547171.5465
MEM 26833.023438 1683547171.6466
MEM 27029.347656 1683547171.7468
MEM 27226.058594 1683547171.8469
MEM 27422.640625 1683547171.9470
MEM 27619.480469 1683547172.0473
MEM 27816.578125 1683547172.1475
MEM 28013.031250 1683547172.2476
MEM 28210.000000 1683547172.3478
MEM 28406.968750 1683547172.4480
MEM 28604.066406 1683547172.5482
MEM 28801.035156 1683547172.6483
MEM 28997.746094 1683547172.7485
MEM 29194.457031 1683547172.8486
MEM 29391.296875 1683547172.9488
MEM 29588.136719 1683547173.0489
MEM 29785.105469 1683547173.1491
MEM 29981.945312 1683547173.2492
MEM 30178.527344 1683547173.3494
MEM 30375.367188 1683547173.4495
MEM 30571.820312 1683547173.5497
MEM 30768.660156 1683547173.6499
MEM 30965.113281 1683547173.7501
MEM 31161.953125 1683547173.8502
MEM 31358.664062 1683547173.9504
MEM 31555.117188 1683547174.0505
MEM 31752.085938 1683547174.1507
MEM 31949.054688 1683547174.2508
MEM 32145.894531 1683547174.3510
MEM 32342.863281 1683547174.4511
MEM 32539.574219 1683547174.5513
MEM 32736.542969 1683547174.6514
MEM 32933.640625 1683547174.7516
MEM 33130.738281 1683547174.8517
MEM 33327.835938 1683547174.9519
MEM 33524.417969 1683547175.0521
MEM 33721.515625 1683547175.1523
MEM 33918.226562 1683547175.2525
MEM 34114.937500 1683547175.3526
MEM 34311.777344 1683547175.4528
MEM 34507.972656 1683547175.5529
MEM 34705.070312 1683547175.6531
MEM 34901.652344 1683547175.7532
MEM 35098.234375 1683547175.8534
MEM 35295.074219 1683547175.9535
MEM 35492.300781 1683547176.0537
MEM 35689.656250 1683547176.1538
MEM 35886.753906 1683547176.2540
MEM 36083.851562 1683547176.3541
MEM 36280.820312 1683547176.4543
MEM 36477.917969 1683547176.5545
MEM 36675.015625 1683547176.6547
MEM 36871.984375 1683547176.7548
MEM 37068.824219 1683547176.8550
MEM 37265.921875 1683547176.9552
MEM 37462.890625 1683547177.0553
MEM 37659.472656 1683547177.1555
MEM 37856.183594 1683547177.2556
MEM 38052.894531 1683547177.3558
MEM 38249.605469 1683547177.4559
MEM 38446.316406 1683547177.5561
MEM 38643.285156 1683547177.6562
MEM 38840.511719 1683547177.7564
MEM 39037.609375 1683547177.8565
MEM 39234.835938 1683547177.9567
MEM 39431.546875 1683547178.0569
MEM 39628.257812 1683547178.1571
MEM 39825.355469 1683547178.2572
MEM 40022.066406 1683547178.3574
MEM 40218.132812 1683547178.4576
MEM 40414.843750 1683547178.5577
MEM 40611.296875 1683547178.6579
MEM 40808.523438 1683547178.7580
MEM 41005.492188 1683547178.8582
MEM 41205.296875 1683547178.9584
MEM 41409.484375 1683547179.0586
MEM 41613.414062 1683547179.1588
MEM 41817.601562 1683547179.2589
MEM 42022.175781 1683547179.3591
MEM 42226.621094 1683547179.4592
MEM 42430.808594 1683547179.5594
MEM 42634.738281 1683547179.6596
MEM 42838.796875 1683547179.7598
MEM 43042.726562 1683547179.8599
MEM 43246.914062 1683547179.9601
MEM 43450.972656 1683547180.0602
MEM 43655.546875 1683547180.1604
MEM 43859.605469 1683547180.2605
MEM 44063.792969 1683547180.3607
MEM 44267.593750 1683547180.4608
MEM 44471.523438 1683547180.5610
MEM 44675.968750 1683547180.6611
MEM 44879.898438 1683547180.7613
MEM 45084.085938 1683547180.8614
MEM 45288.402344 1683547180.9616
MEM 45492.460938 1683547181.0618
MEM 45696.906250 1683547181.1619
MEM 45901.222656 1683547181.2621
MEM 46105.152344 1683547181.3623
MEM 46309.468750 1683547181.4624
MEM 46513.914062 1683547181.5626
MEM 46718.359375 1683547181.6627
MEM 46922.804688 1683547181.7629
MEM 47126.992188 1683547181.8630
MEM 47331.308594 1683547181.9632
MEM 47535.496094 1683547182.0633
MEM 47739.425781 1683547182.1635
MEM 47943.871094 1683547182.2636
MEM 48148.187500 1683547182.3638
MEM 48352.503906 1683547182.4639
MEM 48556.562500 1683547182.5642
MEM 48760.621094 1683547182.6643
MEM 48965.066406 1683547182.7645
MEM 49169.125000 1683547182.8646
MEM 49373.312500 1683547182.9648
MEM 49577.371094 1683547183.0649
MEM 49781.687500 1683547183.1651
MEM 49986.132812 1683547183.2652
MEM 50190.449219 1683547183.3654
MEM 50394.894531 1683547183.4656
MEM 50599.339844 1683547183.5657
MEM 50803.656250 1683547183.6659
MEM 51007.714844 1683547183.7660
MEM 51212.031250 1683547183.8662
MEM 51416.605469 1683547183.9663
MEM 51620.921875 1683547184.0665
MEM 51825.238281 1683547184.1666
MEM 52023.238281 1683547184.2668
MEM 52220.722656 1683547184.3669
MEM 52418.207031 1683547184.4671
MEM 52615.562500 1683547184.5672
MEM 52813.046875 1683547184.6674
MEM 53010.660156 1683547184.7675
MEM 53208.144531 1683547184.8677
MEM 53405.500000 1683547184.9678
MEM 53602.984375 1683547185.0680
MEM 53800.468750 1683547185.1681
MEM 53997.953125 1683547185.2683
MEM 54195.566406 1683547185.3684
MEM 54393.308594 1683547185.4686
MEM 54590.792969 1683547185.5688
MEM 51016.003906 1683547185.6690
MEM 51250.003906 1683547185.7691
MEM 51480.003906 1683547185.8693
MEM 51710.003906 1683547185.9695
MEM 51940.003906 1683547186.0696
MEM 52174.003906 1683547186.1698
MEM 52410.003906 1683547186.2699
MEM 52642.003906 1683547186.3701
MEM 52874.003906 1683547186.4702
MEM 53106.003906 1683547186.5704
MEM 53340.003906 1683547186.6706
MEM 53572.003906 1683547186.7707
MEM 53804.003906 1683547186.8709
MEM 54036.003906 1683547186.9710
MEM 54268.003906 1683547187.0712
MEM 54504.003906 1683547187.1714
MEM 54736.003906 1683547187.2716
MEM 54966.003906 1683547187.3718
MEM 55196.003906 1683547187.4719
MEM 55428.003906 1683547187.5721
MEM 55662.003906 1683547187.6722
MEM 55894.003906 1683547187.7724
MEM 56130.003906 1683547187.8726
MEM 56366.003906 1683547187.9727
MEM 56604.003906 1683547188.0729
MEM 56842.003906 1683547188.1730
MEM 57082.003906 1683547188.2732
MEM 57322.003906 1683547188.3734
MEM 57562.003906 1683547188.4735
MEM 57804.003906 1683547188.5737
MEM 58048.003906 1683547188.6739
MEM 58292.003906 1683547188.7741
MEM 58532.003906 1683547188.8742
MEM 58764.003906 1683547188.9744
MEM 59000.003906 1683547189.0745
MEM 59232.003906 1683547189.1747
MEM 59462.003906 1683547189.2748
MEM 59692.003906 1683547189.3751
MEM 59922.003906 1683547189.4753
MEM 60158.003906 1683547189.5754
MEM 60386.003906 1683547189.6756
MEM 60620.003906 1683547189.7757
MEM 60852.003906 1683547189.8759
MEM 61084.003906 1683547189.9760
MEM 61314.003906 1683547190.0763
MEM 61546.003906 1683547190.1765
MEM 61782.003906 1683547190.2767
MEM 62012.003906 1683547190.3769
MEM 62244.003906 1683547190.4770
MEM 62476.003906 1683547190.5772
MEM 62710.003906 1683547190.6773
MEM 62938.003906 1683547190.7775
MEM 63168.003906 1683547190.8776
MEM 63398.003906 1683547190.9778
MEM 63628.003906 1683547191.0779
MEM 63862.003906 1683547191.1781
MEM 64098.003906 1683547191.2782
MEM 64330.003906 1683547191.3784
MEM 64566.003906 1683547191.4785
MEM 64806.003906 1683547191.5787
MEM 65044.003906 1683547191.6789
MEM 65278.003906 1683547191.7790
MEM 65512.003906 1683547191.8792
MEM 65744.003906 1683547191.9793
MEM 65978.003906 1683547192.0795
MEM 66214.003906 1683547192.1796
MEM 66448.003906 1683547192.2798
MEM 66684.003906 1683547192.3799
MEM 66920.003906 1683547192.4801
MEM 67156.003906 1683547192.5802
MEM 67392.003906 1683547192.6804
MEM 67628.003906 1683547192.7806
MEM 67868.003906 1683547192.8807
MEM 68108.003906 1683547192.9809
MEM 68350.003906 1683547193.0810
MEM 68588.003906 1683547193.1812
MEM 68828.003906 1683547193.2814
MEM 69068.003906 1683547193.3815
MEM 69306.003906 1683547193.4817
MEM 69546.003906 1683547193.5818
MEM 69784.003906 1683547193.6820
MEM 70026.003906 1683547193.7821
MEM 70264.003906 1683547193.8823
MEM 70504.003906 1683547193.9824
MEM 70742.003906 1683547194.0826
MEM 70982.003906 1683547194.1828
MEM 71218.003906 1683547194.2829
MEM 71460.003906 1683547194.3831
MEM 71698.003906 1683547194.4832
MEM 71938.003906 1683547194.5834
MEM 72178.003906 1683547194.6835
MEM 72416.003906 1683547194.7837
MEM 72654.003906 1683547194.8839
MEM 72894.003906 1683547194.9840
MEM 73130.003906 1683547195.0842
MEM 73372.003906 1683547195.1843
MEM 73610.003906 1683547195.2845
MEM 73850.003906 1683547195.3846
MEM 74088.003906 1683547195.4848
MEM 74326.003906 1683547195.5849
MEM 74562.003906 1683547195.6851
MEM 74802.003906 1683547195.7852
MEM 75040.003906 1683547195.8854
MEM 75276.003906 1683547195.9855
MEM 75516.003906 1683547196.0857
MEM 75756.003906 1683547196.1859
MEM 75994.003906 1683547196.2860
MEM 76232.003906 1683547196.3862
MEM 76470.003906 1683547196.4863
MEM 76706.003906 1683547196.5865
MEM 76942.003906 1683547196.6866
MEM 77178.003906 1683547196.7868
MEM 77416.003906 1683547196.8869
MEM 77652.003906 1683547196.9871
MEM 77878.003906 1683547197.0872
MEM 78112.003906 1683547197.1874
MEM 78348.003906 1683547197.2875
MEM 78584.003906 1683547197.3877
MEM 78820.003906 1683547197.4878
MEM 79054.003906 1683547197.5880
MEM 79286.003906 1683547197.6882
MEM 79518.003906 1683547197.7883
MEM 79750.003906 1683547197.8885
MEM 79984.003906 1683547197.9887
MEM 80216.003906 1683547198.0888
MEM 80448.003906 1683547198.1890
MEM 80672.003906 1683547198.2892
MEM 80898.003906 1683547198.3893
MEM 81124.003906 1683547198.4895
MEM 81348.003906 1683547198.5896
MEM 81572.003906 1683547198.6898
MEM 81794.003906 1683547198.7899
MEM 82016.003906 1683547198.8901
MEM 82234.003906 1683547198.9902
MEM 82450.003906 1683547199.0904
MEM 82660.003906 1683547199.1906
MEM 82864.003906 1683547199.2907
MEM 80005.492188 1683547199.3909
MEM 76676.597656 1683547199.4910
MEM 73267.144531 1683547199.5912
MEM 69857.691406 1683547199.6913
MEM 66569.503906 1683547199.7915
MEM 63303.964844 1683547199.8916
MEM 60008.160156 1683547199.9918
MEM 56788.121094 1683547200.0919
MEM 53530.199219 1683547200.1921
MEM 50310.160156 1683547200.2922
MEM 47090.121094 1683547200.3923
MEM 43915.855469 1683547200.4925
MEM 40725.808594 1683547200.5927
MEM 37505.769531 1683547200.6929
MEM 34325.742188 1683547200.7930
MEM 32728.695312 1683547200.8932
MEM 33112.695312 1683547200.9934
MEM 33494.695312 1683547201.0935
MEM 33878.695312 1683547201.1937
MEM 34262.695312 1683547201.2938
MEM 34644.695312 1683547201.3940
MEM 35024.695312 1683547201.4943
MEM 35400.695312 1683547201.5944
MEM 35780.695312 1683547201.6946
MEM 36158.695312 1683547201.7947
MEM 36538.695312 1683547201.8949
MEM 36918.695312 1683547201.9950
MEM 37298.695312 1683547202.0952
MEM 37676.695312 1683547202.1954
MEM 38058.695312 1683547202.2955
MEM 38442.695312 1683547202.3957
MEM 38826.695312 1683547202.4958
MEM 39210.695312 1683547202.5960
MEM 39594.695312 1683547202.6962
MEM 39978.695312 1683547202.7963
MEM 40362.695312 1683547202.8965
MEM 40746.695312 1683547202.9968
MEM 41132.695312 1683547203.0970
MEM 41518.695312 1683547203.1971
MEM 41902.695312 1683547203.2973
MEM 42286.695312 1683547203.3974
MEM 42670.695312 1683547203.4976
MEM 43054.695312 1683547203.5977
MEM 43436.695312 1683547203.6979
MEM 43818.695312 1683547203.7981
MEM 44202.695312 1683547203.8982
MEM 44586.695312 1683547203.9984
MEM 44970.695312 1683547204.0986
MEM 45354.695312 1683547204.1987
MEM 45740.695312 1683547204.2989
MEM 46126.695312 1683547204.3990
MEM 46510.695312 1683547204.4992
MEM 46894.695312 1683547204.5994
MEM 47280.695312 1683547204.6995
MEM 47664.695312 1683547204.7997
MEM 48048.695312 1683547204.8998
MEM 48432.695312 1683547205.0000
MEM 48816.695312 1683547205.1001
MEM 49200.695312 1683547205.2003
MEM 49584.695312 1683547205.3004
MEM 49968.695312 1683547205.4006
MEM 50352.695312 1683547205.5008
MEM 50736.695312 1683547205.6009
MEM 51120.695312 1683547205.7011
MEM 51504.695312 1683547205.8012
MEM 51888.695312 1683547205.9014
MEM 52272.695312 1683547206.0015
MEM 52658.695312 1683547206.1017
MEM 53042.695312 1683547206.2018
MEM 53426.695312 1683547206.3020
MEM 53812.695312 1683547206.4021
MEM 54196.695312 1683547206.5023
MEM 54582.695312 1683547206.6024
MEM 54968.695312 1683547206.7026
MEM 55354.695312 1683547206.8028
MEM 55740.695312 1683547206.9029
MEM 56126.695312 1683547207.0031
MEM 56512.695312 1683547207.1032
MEM 56898.695312 1683547207.2034
MEM 57284.695312 1683547207.3035
MEM 57668.695312 1683547207.4037
MEM 58054.695312 1683547207.5038
MEM 58438.695312 1683547207.6040
MEM 58824.695312 1683547207.7041
MEM 59210.695312 1683547207.8043
MEM 59594.695312 1683547207.9045
MEM 59980.695312 1683547208.0046
MEM 60370.695312 1683547208.1060
MEM 60756.695312 1683547208.2062
MEM 61140.695312 1683547208.3064
MEM 61526.695312 1683547208.4065
MEM 61912.695312 1683547208.5067
MEM 62298.695312 1683547208.6068
MEM 62684.695312 1683547208.7070
MEM 63068.695312 1683547208.8071
MEM 63454.695312 1683547208.9073
MEM 63840.695312 1683547209.0074
MEM 64226.695312 1683547209.1076
MEM 64592.300781 1683547209.2077
MEM 64592.300781 1683547209.3079
MEM 64592.300781 1683547209.4080
MEM 64592.300781 1683547209.5082
MEM 64592.300781 1683547209.6083
MEM 64592.300781 1683547209.7085
MEM 64592.300781 1683547209.8087
MEM 64592.300781 1683547209.9088
MEM 64592.300781 1683547210.0090
MEM 64592.300781 1683547210.1091
MEM 64592.300781 1683547210.2093
MEM 64592.300781 1683547210.3095
MEM 64592.300781 1683547210.4096
MEM 64592.300781 1683547210.5098
MEM 64592.300781 1683547210.6099
MEM 64592.300781 1683547210.7101
MEM 64592.300781 1683547210.8102
MEM 64592.300781 1683547210.9104
MEM 64592.300781 1683547211.0105
MEM 64592.300781 1683547211.1107
MEM 64592.300781 1683547211.2108
MEM 64592.300781 1683547211.3110
MEM 64592.300781 1683547211.4111
MEM 64592.300781 1683547211.5113
MEM 64592.300781 1683547211.6114
MEM 64592.300781 1683547211.7116
MEM 64592.300781 1683547211.8117
MEM 64592.300781 1683547211.9119
MEM 64592.300781 1683547212.0120
MEM 64592.300781 1683547212.1122
MEM 64592.300781 1683547212.2123
MEM 64592.300781 1683547212.3125
MEM 64592.300781 1683547212.4126
MEM 64592.300781 1683547212.5128
MEM 64592.300781 1683547212.6129
MEM 64592.300781 1683547212.7131
MEM 64592.300781 1683547212.8133
MEM 64592.300781 1683547212.9134
MEM 64592.300781 1683547213.0136
MEM 64592.300781 1683547213.1137
MEM 64592.300781 1683547213.2139
MEM 64592.300781 1683547213.3141
MEM 64592.300781 1683547213.4142
MEM 64592.300781 1683547213.5144
MEM 64592.300781 1683547213.6145
MEM 64592.300781 1683547213.7147
MEM 64592.300781 1683547213.8148
MEM 64592.300781 1683547213.9150
MEM 64592.300781 1683547214.0151
MEM 64592.300781 1683547214.1153
MEM 64592.300781 1683547214.2154
MEM 64592.300781 1683547214.3156
MEM 64592.300781 1683547214.4158
MEM 64592.300781 1683547214.5159
MEM 64592.300781 1683547214.6161
MEM 64592.300781 1683547214.7162
MEM 64592.300781 1683547214.8163
MEM 64592.300781 1683547214.9165
MEM 64592.300781 1683547215.0167
MEM 64592.300781 1683547215.1168
MEM 64592.300781 1683547215.2170
MEM 64592.300781 1683547215.3171
MEM 64592.300781 1683547215.4173
MEM 64592.300781 1683547215.5174
MEM 64592.300781 1683547215.6176
MEM 64592.300781 1683547215.7177
MEM 64592.300781 1683547215.8179
MEM 64592.300781 1683547215.9181
MEM 64592.300781 1683547216.0182
MEM 64592.300781 1683547216.1184
MEM 64592.300781 1683547216.2185
MEM 64592.300781 1683547216.3187
MEM 64592.300781 1683547216.4188
MEM 64592.300781 1683547216.5190
MEM 64592.300781 1683547216.6191
MEM 64592.300781 1683547216.7193
MEM 64592.300781 1683547216.8194
MEM 64592.300781 1683547216.9196
MEM 64592.300781 1683547217.0197
MEM 64592.300781 1683547217.1199
MEM 64592.300781 1683547217.2200
MEM 64592.300781 1683547217.3202
MEM 64592.300781 1683547217.4203
MEM 64592.300781 1683547217.5205
MEM 64592.300781 1683547217.6206
MEM 64592.300781 1683547217.7208
MEM 64592.300781 1683547217.8209
MEM 64592.300781 1683547217.9211
MEM 64592.300781 1683547218.0212
MEM 64592.300781 1683547218.1214
MEM 64592.300781 1683547218.2216
MEM 64592.300781 1683547218.3218
MEM 64592.300781 1683547218.4219
MEM 64592.300781 1683547218.5221
MEM 64592.300781 1683547218.6223
MEM 64592.300781 1683547218.7224
MEM 64592.300781 1683547218.8226
MEM 64592.300781 1683547218.9228
MEM 64592.300781 1683547219.0229
MEM 64592.300781 1683547219.1231
MEM 64592.300781 1683547219.2232
MEM 64592.300781 1683547219.3234
MEM 64592.300781 1683547219.4235
MEM 64592.300781 1683547219.5237
MEM 64592.300781 1683547219.6238
MEM 64592.300781 1683547219.7240
MEM 64592.300781 1683547219.8241
MEM 64592.300781 1683547219.9243
MEM 64592.300781 1683547220.0244
MEM 64592.300781 1683547220.1246
MEM 64592.300781 1683547220.2247
MEM 64592.300781 1683547220.3249
MEM 64592.300781 1683547220.4250
MEM 64592.300781 1683547220.5252
MEM 64592.300781 1683547220.6253
MEM 64592.300781 1683547220.7255
MEM 64592.300781 1683547220.8256
MEM 64592.300781 1683547220.9258
MEM 64592.300781 1683547221.0259
MEM 64592.300781 1683547221.1261
MEM 64592.300781 1683547221.2262
MEM 64592.300781 1683547221.3264
MEM 64592.300781 1683547221.4266
MEM 64592.300781 1683547221.5267
MEM 64592.300781 1683547221.6269
MEM 64592.300781 1683547221.7270
MEM 64592.300781 1683547221.8272
MEM 64592.300781 1683547221.9274
MEM 64592.300781 1683547222.0275
MEM 64592.300781 1683547222.1277
MEM 64592.300781 1683547222.2278
MEM 64592.300781 1683547222.3280
MEM 64592.300781 1683547222.4281
MEM 64592.300781 1683547222.5283
MEM 64592.300781 1683547222.6284
MEM 64592.300781 1683547222.7286
MEM 64592.300781 1683547222.8287
MEM 64592.300781 1683547222.9289
MEM 64592.300781 1683547223.0290
MEM 64592.300781 1683547223.1292
MEM 64592.300781 1683547223.2294
MEM 64592.300781 1683547223.3295
MEM 64592.300781 1683547223.4297
MEM 64592.300781 1683547223.5299
MEM 64592.300781 1683547223.6301
MEM 64592.300781 1683547223.7302
MEM 64592.300781 1683547223.8304
MEM 64592.300781 1683547223.9305
MEM 64592.300781 1683547224.0307
MEM 64592.300781 1683547224.1308
MEM 64592.300781 1683547224.2310
MEM 64592.300781 1683547224.3311
MEM 64592.300781 1683547224.4313
MEM 64592.300781 1683547224.5314
MEM 64592.300781 1683547224.6316
MEM 64592.300781 1683547224.7317
MEM 64592.300781 1683547224.8319
MEM 64592.300781 1683547224.9321
MEM 64592.300781 1683547225.0322
MEM 64592.300781 1683547225.1324
MEM 64592.300781 1683547225.2325
MEM 64592.300781 1683547225.3327
MEM 64592.300781 1683547225.4328
MEM 64592.300781 1683547225.5330
MEM 64592.300781 1683547225.6331
MEM 64592.300781 1683547225.7333
MEM 64592.300781 1683547225.8334
MEM 64592.300781 1683547225.9336
MEM 64592.300781 1683547226.0337
MEM 64592.300781 1683547226.1339
MEM 64592.300781 1683547226.2341
MEM 64592.300781 1683547226.3342
MEM 64592.300781 1683547226.4344
MEM 64592.300781 1683547226.5345
MEM 64592.300781 1683547226.6347
MEM 64592.300781 1683547226.7348
MEM 64592.300781 1683547226.8350
MEM 64592.300781 1683547226.9351
MEM 64592.300781 1683547227.0353
MEM 64592.300781 1683547227.1354
MEM 64592.300781 1683547227.2356
MEM 64592.300781 1683547227.3357
MEM 64592.300781 1683547227.4359
MEM 64592.300781 1683547227.5360
MEM 64592.300781 1683547227.6362
MEM 64592.300781 1683547227.7364
MEM 64592.300781 1683547227.8365
MEM 64592.300781 1683547227.9367
MEM 64592.300781 1683547228.0368
MEM 64592.300781 1683547228.1370
MEM 64592.300781 1683547228.2372
MEM 64592.300781 1683547228.3373
MEM 64592.300781 1683547228.4375
MEM 64592.300781 1683547228.5377
MEM 64592.300781 1683547228.6378
MEM 64592.300781 1683547228.7380
MEM 64592.300781 1683547228.8381
MEM 64592.300781 1683547228.9383
MEM 64592.300781 1683547229.0384
MEM 64592.300781 1683547229.1386
MEM 64592.300781 1683547229.2387
MEM 64592.300781 1683547229.3389
MEM 64592.300781 1683547229.4391
MEM 64592.300781 1683547229.5392
MEM 64592.300781 1683547229.6394
MEM 64592.300781 1683547229.7395
MEM 64592.300781 1683547229.8397
MEM 64592.300781 1683547229.9398
MEM 64592.300781 1683547230.0400
MEM 64592.300781 1683547230.1401
MEM 64592.300781 1683547230.2403
MEM 64592.300781 1683547230.3404
MEM 64592.300781 1683547230.4406
MEM 64592.300781 1683547230.5407
MEM 64592.300781 1683547230.6409
MEM 64592.300781 1683547230.7410
MEM 64592.300781 1683547230.8412
MEM 64592.300781 1683547230.9413
MEM 64592.300781 1683547231.0415
MEM 64592.300781 1683547231.1416
MEM 64592.300781 1683547231.2418
MEM 64592.300781 1683547231.3419
MEM 64592.300781 1683547231.4421
MEM 64592.300781 1683547231.5422
MEM 64592.300781 1683547231.6424
MEM 64592.300781 1683547231.7426
MEM 64592.300781 1683547231.8427
MEM 64592.300781 1683547231.9429
MEM 64592.300781 1683547232.0430
MEM 64592.300781 1683547232.1432
MEM 64592.300781 1683547232.2433
MEM 64592.300781 1683547232.3435
MEM 64592.300781 1683547232.4437
MEM 64592.300781 1683547232.5438
MEM 64592.300781 1683547232.6439
MEM 64592.300781 1683547232.7441
MEM 64592.300781 1683547232.8442
MEM 64592.300781 1683547232.9444
MEM 64592.300781 1683547233.0445
MEM 64592.300781 1683547233.1447
MEM 64592.300781 1683547233.2448
MEM 64592.300781 1683547233.3450
MEM 64592.300781 1683547233.4451
MEM 64592.300781 1683547233.5453
MEM 64592.300781 1683547233.6455
MEM 64592.300781 1683547233.7457
MEM 64592.300781 1683547233.8458
MEM 64592.300781 1683547233.9460
MEM 64592.300781 1683547234.0461
MEM 64592.300781 1683547234.1463
MEM 64592.300781 1683547234.2464
